AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST||CN1A06300C||SCUOLA DELL'INFANZIA PARITARIA L'OASI DEI BIMBI|POLONGHERA|SCUOLA INFANZIA NON STATALE|VIA GUGLIELMO MARCONI, 17|CUNEO|PIEMONTE||
NORD OVEST||CN1A07500P||SCUOLA DELL'INFANZIA PARITARIA SACRO CUORE|SAVIGLIANO|SCUOLA INFANZIA NON STATALE|PIAZZA SCHIAPARELLI, 19|CUNEO|PIEMONTE||
NORD OVEST||CN1A073003||SCUOLA DELL'INFANZIA PARITARIA MARIA ASSUNTA|SAN DAMIANO MACRA|SCUOLA INFANZIA NON STATALE|VIA ALDO BELTRICCO, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1A07000G||SCUOLA DELL'INFANZIA PARITARIA SAN GIUSEPPE|SALUZZO|SCUOLA INFANZIA NON STATALE|CORSO PIEMONTE, 56|CUNEO|PIEMONTE||
NORD OVEST||CN1A09100L||SCUOLA DELL'INFANZIA PARITARIA LE MINAS|PRAZZO|SCUOLA INFANZIA NON STATALE|PIAZZA MUNICIPIO, 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A06700Q||SCUOLA DELL'INFANZIA PARITARIA A. PELLINI|ROSSANA|SCUOLA INFANZIA NON STATALE|VIA MAZZINI, 4|CUNEO|PIEMONTE||
NORD OVEST||CN1A065004||ASILO INFANTILE|ROCCAFORTE MONDOVI'|SCUOLA INFANZIA NON STATALE|VIA MARTIRI DELLA LIBERTA', 7|CUNEO|PIEMONTE||
NORD OVEST||CN1A06100R||SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA|PEVERAGNO|SCUOLA INFANZIA NON STATALE|VIA CUNEO, 80  FRAZIONE SAN LORENZO|CUNEO|PIEMONTE||
NORD OVEST||CN1A04600P||SCUOLA DELL'INFANZIA PARITARIA CAMPIONI POLTI|GARESSIO|SCUOLA INFANZIA NON STATALE|P.ZZA SANTA CATERINA, 7|CUNEO|PIEMONTE||
NORD OVEST||CN1A044003||SCUOLA DELL'INFANZIA PARITARIA E.ZANAROLI|FOSSANO|SCUOLA INFANZIA NON STATALE|VIA CENTALLO, 48|CUNEO|PIEMONTE||
NORD OVEST||CN1A04200B||SCUOLA DELL'INFANZIA PARITARIA PADRE RIBERO|DRONERO|SCUOLA INFANZIA NON STATALE|VIA ASILO, 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A03800Q||SC. DELL'INFANZIA PARITARIA VITTORIO E MATILDE BERSEZIO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA RACOT, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A036004||SCUOLA DELL'INFANZIA PARITARIA DESME|CUNEO|SCUOLA INFANZIA NON STATALE|VIA BISALTA, 21|CUNEO|PIEMONTE||
NORD OVEST||CN1A03400C||SCUOLA DELL'INFANZIA PARITARIA DON BARBERO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA ROATA CANALE, 3|CUNEO|PIEMONTE||
NORD OVEST||CN1A05400N||ASILO INFANTILE SCUOLA MATERNA|MONASTEROLO DI SAVIGLIANO|SCUOLA INFANZIA NON STATALE|VIA MAZZINI, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A052002||ASILO INFANTILE|MANTA|SCUOLA INFANZIA NON STATALE|VIA SALUZZO, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A05000A||SC. DELL'INFANZIA PARITARIA IST. PER L'INFANZIA E GIOVENTU'|LEQUIO TANARO|SCUOLA INFANZIA NON STATALE|VIA CIGLIUTTI 3|CUNEO|PIEMONTE||
NORD OVEST||CN1A030005||SCUOLA DELL'INFANZIA PARITARIA ASILO INFANTILE CATTOLICO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA ASILO, 1|CUNEO|PIEMONTE||
NORD OVEST||CNTN155007||"""AMERIGO VESPUCCI"""|CUNEO|SCUOLA SEC. SECONDO GRADO NON STATALE|P.ZZA GALIMBERTI 15|CUNEO|PIEMONTE|33.0|P
NORD OVEST||CN1A06800G||ASSOCIAZIONE ASILO INFANTILE EMILIA DI SAN MARZANO DANIELE|RUFFIA|SCUOLA INFANZIA NON STATALE|VIA VITT. VENETO, 14|CUNEO|PIEMONTE||
NORD OVEST||CN1A015003||"FONDAZIONE ""SCUOLA DELL'INFANZIA DON M.S. BECCHIS"""|BUSCA|SCUOLA INFANZIA NON STATALE|VIA PES DI VILLAMARINA, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1A01100Q||SCUOLA DELL'INFANZIA PARITARIA SANT'ANTONINO|BRA|SCUOLA INFANZIA NON STATALE|VIA VITTORIO EMANUELE, 287|CUNEO|PIEMONTE||
NORD OVEST||CN1A00900Q||SCUOLA DELL'INFANZIA PARITARIA DON PERELLI|BOVES|SCUOLA INFANZIA NON STATALE|VIA SAN LORENZO, 28|CUNEO|PIEMONTE||
NORD OVEST||CN1A04100G||SC. DELL'INFANZIA PARITARIA OPERE PIE DRONERESI|DRONERO|SCUOLA INFANZIA NON STATALE|VIA G. GIOLITTI, 32|CUNEO|PIEMONTE||
NORD OVEST||CN1M00400Q||"SCUOLA SECONDARIA DI PRIMO GRADO ""MONS. ANDREA FIORE"""|CUNEO|SCUOLA SEC. PRIMO GRADO NON STATALE|CORSO DANTE 52|CUNEO|PIEMONTE|73.0|P
NORD OVEST||CN1E00200V||"SCUOLA PARITARIA ""SAN DOMENICO"""|FOSSANO|SCUOLA PRIMARIA NON STATALE|VIA BAVA N.36|CUNEO|PIEMONTE|116.0|P
NORD OVEST||CN1E00300P||CONVITTO PROVVIDENZA|BRA|SCUOLA PRIMARIA NON STATALE|VIA PROVVIDENZA, 5|CUNEO|PIEMONTE|76.0|P
NORD OVEST||CN1M001008||S.DOMENICO SAVIO|BRA|SCUOLA SEC. PRIMO GRADO NON STATALE|V.LE RIMEMBRANZE 19|CUNEO|PIEMONTE|102.0|P
NORD OVEST||CN1A09000R||SCUOLA DELL'INFANZIA PARITARIA SANT' ANTONIO|GOVONE|SCUOLA INFANZIA NON STATALE|VIA DE GASPERI, 20  FRAZIONE CANOVE|CUNEO|PIEMONTE||
NORD OVEST||CN1A086005||ASSOCIAZIONE ASILO INFANTILE DELFINA RINAUDO COLONNA|VILLANOVA SOLARO|SCUOLA INFANZIA NON STATALE|VIA SEBASTIANO GAIDO, 47|CUNEO|PIEMONTE||
NORD OVEST||CN1A08200T||SCUOLA DELL'INFANZIA PARITARIA DOTT.CAV.UMBERTO BAUDINO|VERNANTE|SCUOLA INFANZIA NON STATALE|VICOLO CORDERO PITTORE N. 8|CUNEO|PIEMONTE||
NORD OVEST||CN1A080006||SCUOLA DELL'INFANZIA PARITARIA SAN VINCENZO|SCARNAFIGI|SCUOLA INFANZIA NON STATALE|PIAZZA M.D. GALLO 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A078006||ASILO INFANTILE DI LEVALDIGI|SAVIGLIANO|SCUOLA INFANZIA NON STATALE|VIA VOTTIGNASCO, 6|CUNEO|PIEMONTE||
NORD OVEST||CN1A07600E||SCUOLA DELL'INFANZIA PARITARIA SANTA MARIA DELLA PIEVE|SAVIGLIANO|SCUOLA INFANZIA NON STATALE|VIA PAOLO DOVO, 6|CUNEO|PIEMONTE||
NORD OVEST||CN1A07400V||SCUOLA DELL'INFANZIA PARITARIA GUIDO ROCCAVILLA|SANFRONT|SCUOLA INFANZIA NON STATALE|VIA TRIESTE, 19|CUNEO|PIEMONTE||
NORD OVEST||CN1A072007||SCUOLA DELL'INFANZIA PARITARIA REGINA MARGHERITA|SALUZZO|SCUOLA INFANZIA NON STATALE|PIAZZA DANTE, 12|CUNEO|PIEMONTE||
NORD OVEST||CN1A085009||SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA|VILLANOVA MONDOVI'|SCUOLA INFANZIA NON STATALE|VIA DON MONDINO, 16 FRAZ. MADONNA DEL PASCO|CUNEO|PIEMONTE||
NORD OVEST||CN1A08300N||SCUOLA DELL'INFANZIA PARITARIA ALBERTO KELLER|VERZUOLO|SCUOLA INFANZIA NON STATALE|VIA ASILO KELLER, 30 FR. VILLANOVETTA|CUNEO|PIEMONTE||
NORD OVEST||CN1A081002||ASILO INFANTILE|TORRE SAN GIORGIO|SCUOLA INFANZIA NON STATALE|VIA MAESTRA, 51|CUNEO|PIEMONTE||
NORD OVEST||CN1A079002||SACRA FAMIGLIA|SAVIGLIANO|SCUOLA INFANZIA NON STATALE|VIA SAN PIETRO, 9|CUNEO|PIEMONTE||
NORD OVEST||CN1A07700A||SCUOLA DELL'INFANZIA PARITARIA MIRETTI - RAVIOLO|SAVIGLIANO|SCUOLA INFANZIA NON STATALE|STRADA OROPA, 6|CUNEO|PIEMONTE||
NORD OVEST||CN1A07001L||BIGLIA|FAULE|SCUOLA INFANZIA NON STATALE|VIA CASANA, 44|CUNEO|PIEMONTE||
NORD OVEST||CN1A031001||"SCUOLA DELL'INFANZIA PARITARIA ""SACRA FAMIGLIA"""|CUNEO|SCUOLA INFANZIA NON STATALE|CORSO SOLERI, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A029001||SCUOLA DELL'INFANZIA PARITARIA MONS. ANDREA FIORE|CUNEO|SCUOLA INFANZIA NON STATALE|CORSO DANTE, 52|CUNEO|PIEMONTE||
NORD OVEST||CN1A027009||ASILO INFANTILE|CHERASCO|SCUOLA INFANZIA NON STATALE|VIA CONTI PETITTI, 40|CUNEO|PIEMONTE||
NORD OVEST||CN1A02500N||SCUOLA DELL'INFANZIA PARITARIA SORELLE PAROLA|CERVASCA|SCUOLA INFANZIA NON STATALE|VIA ASILO, 6|CUNEO|PIEMONTE||
NORD OVEST||CN1A023002||SCUOLA DELL'INFANZIA PARITARIA MARGARIA MACESI|CENTALLO|SCUOLA INFANZIA NON STATALE|PIAZZA CARDINAL PELLEGRINO, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1A02100A||ASILO INFANTILE BORRONE|CAVALLERMAGGIORE|SCUOLA INFANZIA NON STATALE|VIA ASILO, 21|CUNEO|PIEMONTE||
NORD OVEST||CN1A01900A||SANTA MARIA ASSUNTA IN CIELO|CAVALLERLEONE|SCUOLA INFANZIA NON STATALE|VIA BERNERO, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A01700P||ASILO INFANTILE|CARAGLIO|SCUOLA INFANZIA NON STATALE|VIA CAPPUCCINI, 15|CUNEO|PIEMONTE||
NORD OVEST||CN1A028005||SCUOLA DELL'INFANZIA PARITARIA ALICE E TANCREDI GALIMBERTI|CUNEO|SCUOLA INFANZIA NON STATALE|VIA ASCANIO SOBRERO, 18|CUNEO|PIEMONTE||
NORD OVEST||CN1A02600D||SCUOLA DELL'INFANZIA PARITARIA BIMA|CERVERE|SCUOLA INFANZIA NON STATALE|VIA COLONNELLO ANSALDI, 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A02400T||SCUOLA DELL'INFANZIA PARITARIA ARTUFFI|CERESOLE ALBA|SCUOLA INFANZIA NON STATALE|VIA ARTUFFI, 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A022006||SCUOLA DELL'INFANZIA PARITARIA GIOVANNI ARESE|CENTALLO|SCUOLA INFANZIA NON STATALE|VIA CENTALLO, 29|CUNEO|PIEMONTE||
NORD OVEST||CN1A02000E||"COOPERATIVA SOCIALE SCUOLA MATERNA "" A. FISSORE"" S.C.R.L."|CAVALLERMAGGIORE|SCUOLA INFANZIA NON STATALE|VIA MADONNA DEL PILONE, 4|CUNEO|PIEMONTE||
NORD OVEST||CN1A01600V||SCUOLA DELL'INFANZIA PARITARIA REGINA MARGHERITA|CANALE|SCUOLA INFANZIA NON STATALE|VIALE DEL PESCO, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A014007||SCUOLA MATERNA PARROCCHIALE|BUSCA|SCUOLA INFANZIA NON STATALE|PIAZZA DON DEMARIA, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A01000X||SCUOLA DELL'INFANZIA PARITARIA DIVINA PROVVIDENZA|BOVES|SCUOLA INFANZIA NON STATALE|VIA PARROCCHIA, 125|CUNEO|PIEMONTE||
NORD OVEST||CN1A058001||ASILO INFANTILE|MURELLO|SCUOLA INFANZIA NON STATALE|VIA CADUTI MURELLESI, 61|CUNEO|PIEMONTE||
NORD OVEST||CN1A056009||SCUOLA DELL'INFANZIA PARITARIA DON CAMPANA|MONDOVI'|SCUOLA INFANZIA NON STATALE|LOCALITA' SAN BIAGIO, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1A05900R||ASILO INFANTILE|NARZOLE|SCUOLA INFANZIA NON STATALE|VIA UMBERTO I, 9|CUNEO|PIEMONTE||
NORD OVEST||CN1A057005||SCUOLA DELL'INFANZIA PARITARIA MARIA IMMACOLATA|MONDOVI'|SCUOLA INFANZIA NON STATALE|VIA FOSSANO, 15|CUNEO|PIEMONTE||
NORD OVEST||CN1A05500D||SCUOLA DELL'INFANZIA PARITARIA SAN DOMENICO|MONDOVI'|SCUOLA INFANZIA NON STATALE|PIAZZA SAN GIOVANNI, 8|CUNEO|PIEMONTE||
NORD OVEST||CN1A05300T||SCUOLA DELL'INFANZIA PARITARIA S. TERESA DEL BAMBIN GESU'|MARENE|SCUOLA INFANZIA NON STATALE|VIA G. MARCONI, 12|CUNEO|PIEMONTE||
NORD OVEST||CN1A051006||SCUOLA DELL'INFANZIA PARITARIA|LIMONE PIEMONTE|SCUOLA INFANZIA NON STATALE|VIA EX CONVENTO, 4|CUNEO|PIEMONTE||
NORD OVEST||CN1A049006||SCUOLA DELL'INFANZIA PARITARIA TAPPARELLI D'AZEGLIO|LAGNASCO|SCUOLA INFANZIA NON STATALE|VIA TAPPARELLI, 5|CUNEO|PIEMONTE||
NORD OVEST||CN1A04700E||SCUOLA DELL'INFANZIA PARITARIA G.B. REYNERI|GENOLA|SCUOLA INFANZIA NON STATALE|VIA SAN CIRIACO, 13|CUNEO|PIEMONTE||
NORD OVEST||CN1A04500V||SC. DELL'INFANZIA PARITARIA NOSTRA SIGNORA DEL SALICE|FOSSANO|SCUOLA INFANZIA NON STATALE|C.SO C.COLOMBO, 4|CUNEO|PIEMONTE||
NORD OVEST||CN1A043007||SCUOLA DELL'INFANZIA PARITARIA TOESCA E MACARIO|FOSSANO|SCUOLA INFANZIA NON STATALE|FRAZ. MURAZZO, 58|CUNEO|PIEMONTE||
NORD OVEST||CN1A00800X||SCUOLA DELL'INFANZIA PARITARIA MONSIGNOR CALANDRI|BOVES|SCUOLA INFANZIA NON STATALE|VIA MONSIGNOR CALANDRI, 16|CUNEO|PIEMONTE||
NORD OVEST||CN1A006008||SCUOLA DELL'INFANZIA PARITARIA PRINCIPESSA MARIA PIA|BAGNOLO PIEMONTE|SCUOLA INFANZIA NON STATALE|VIA DON G.POETTO, 3|CUNEO|PIEMONTE||
NORD OVEST||CN1A00400L||SCUOLA DELL'INFANZIA PARITARIA CASA MARIA AUSILIATRICE|ALBA|SCUOLA INFANZIA NON STATALE|CORSO LANGHE, 77|CUNEO|PIEMONTE||
NORD OVEST||CN1A064008||SCUOLA DELL'INFANZIA PARITARIA RIBOTTA|RACCONIGI|SCUOLA INFANZIA NON STATALE|VIA G. PRIOTTI, 2|CUNEO|PIEMONTE||
NORD OVEST||CN1A06200L||SCUOLA DELL'INFANZIA PARITARIA GANDOLFI|PIANFEI|SCUOLA INFANZIA NON STATALE|VIA ROMA, 48|CUNEO|PIEMONTE||
NORD OVEST||CN1A060001||SCUOLA DELL'INFANZIA PARITARIA MILENA CAVALLO|PIASCO|SCUOLA INFANZIA NON STATALE|VIA GUGLIELMO MARCONI, 18|CUNEO|PIEMONTE||
NORD OVEST||CN1A03900G||SC. DELL'INFANZIA PARITARIA CANONICO COMETTO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA DELL'ABBAZIA, 3|CUNEO|PIEMONTE||
NORD OVEST||CN1A03700X||"SCUOLA DELL'INFANZIA PARROCCHIALE ""DON B. STELLINO"""|CUNEO|SCUOLA INFANZIA NON STATALE|VIA CRISSOLO, 23|CUNEO|PIEMONTE||
NORD OVEST||CN1A035008||SCUOLA DELL'INFANZIA PARITARIA CONIUGI AUTRETTI|CUNEO|SCUOLA INFANZIA NON STATALE|VIA DEMONTE, 16|CUNEO|PIEMONTE||
NORD OVEST||CN1A03300L||SC. DELL'INFANZIA PARITARIA OPERA PIA DEMICHELIS - MONDINO|CUNEO|SCUOLA INFANZIA NON STATALE|VIA TETTO DELL'OLA, 26|CUNEO|PIEMONTE||
NORD OVEST||CN1E001003||"SCUOLA PRIMARIA PARITARIA ""MONS. ANDREA FIORE"""|CUNEO|SCUOLA PRIMARIA NON STATALE|CORSO DANTE 52|CUNEO|PIEMONTE|98.0|P
NORD OVEST||CN1A81201G||REGINA PACIS|VILLANOVA MONDOVI'|SCUOLA INFANZIA NON STATALE|VIA PIANFEI, 39|CUNEO|PIEMONTE||
NORD OVEST||CN1A007004||SCUOLA DELL'INFANZIA PARITARIA SORELLE BELTRU'|BERNEZZO|SCUOLA INFANZIA NON STATALE|VIA G. B. ASTRE,101|CUNEO|PIEMONTE||
NORD OVEST||CN1A00500C||SCUOLA DELL'INFANZIA PARITARIA CITTA' DI ALBA|ALBA|SCUOLA INFANZIA NON STATALE|VIA ACCADEMIA, 1|CUNEO|PIEMONTE||
NORD OVEST||CN1A00300R||SCUOLA DELL'INFANZIA PARITARIA COOP SOCIALE PROGETTO EMMAUS|ALBA|SCUOLA INFANZIA NON STATALE|VIA RATTAZZI N.9|CUNEO|PIEMONTE||
