AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento|DESCRIZIONE_SINTETICA_CUP|ANNO_DECISIONE|STATO_PROGETTO|COSTO_PROGETTO|FINANZIAMENTO_PROGETTO|CODICE_STATO|STATO|CODICE_AREA_GEOGRAFICA|AREA_GEOGRAFICA|CODICE_REGIONE|CODICE_PROVINCIA|SIGLA_PROVINCIA|CODICE_COMUNE|PIVA_CODFISCALE_SOG_TITOLARE|SOGGETTO_TITOLARE|INDIRIZZO_SOG_TITOLARE|TIPO_INDIRIZZO_SOG_TITOLARE|NUM_CIVICO_SOG_TITOLARE|LOCALITA_SOG_TITOLARE|CAP_SOGGETTO_TITOLARE|COMUNE_SOGGETTO_TITOLARE|CODICE_COMUNE_SOGG_TITOLARE|CODICE_SOTTOCATEG_SOGGETTO|SOTTOCATEGORIA_SOGGETTO|CODICE_CATEGORIA_SOGGETTO|CATEGORIA_SOGGETTO|CODICE_AREA_SOGGETTO|AREA_SOGGETTO|CODICE_NATURA_INTERVENTO|NATURA_INTERVENTO|CODICE_TIPO_INTERVENTO|TIPOLOGIA_INTERVENTO|CODICE_AREA_INTERVENTO|AREA_INTERVENTO|CODICE_SETTORE_INTERVENTO|SETTORE_INTERVENTO|CODICE_SOTTOSETTORE_INTERVENTO|SOTTOSETTORE_INTERVENTO|CODICE_CATEGORIA_INTERVENTO|CATEGORIA_INTERVENTO|SOGGETTO_RICHIEDENTE|TIPOLOGIA_CUP|DESCRIZIONE_INTERVENTO|STRUTTURA_INFRASTRUTTURA|INDIRIZZO_INTERVENTO|NUMERO_DELIBERA_CIPE|ANNO_DELIBERA|FLAG_LEGGE_OBIETTIVO|FINANZA_PROGETTO|FLAG_TIPO_GENERICO|CUP_IN_RELAZIONE|RUOLO_IN_RELAZIONE|DESC_TIPO_RELAZIONE|DATA_ULTIMA_MODIFICA_SSC|DATA_ULTIMA_MODIFICA_UTENTE|DATA_CHIUSURA_REVOCA|CODICE_LOCALE_PROGETTO|CODICE_STRUMENTO_PROGRAM|STRUMENTO_PROGRAMMAZIONE|CODICE_COPERTURA_FINANZIARIA|COPERTURA_FINANZIARIA|SPONSORIZZAZIONI|ALTRE_INFORMAZIONI|DATA_GENERAZIONE_CUP|CONTROLLO_QUALITA|CUP_MASTER|RAGIONI_COLLEGAMENTO|LINK_OPENCOESIONE|LINK_SCUOLE_SICURE
NORD OVEST|CNIC86600D|CNAA86601A|"FOSSANO-""COLLODI"""|FOSSANO|SCUOLA INFANZIA|VIA FORNACE,20|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNAA86602B|"FOSSANO-""RODARI"""|FOSSANO|SCUOLA INFANZIA|VIA VINCENZO SPARLA 1|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862018|SALUZZO-CAP.'C.A. DALLA CHIESA'|SALUZZO|SCUOLA PRIMARIA|VIA ANTICA TORINO|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE862029|"SALUZZO - CAPOL. ""MUSSO"""|SALUZZO|SCUOLA PRIMARIA|C.SO PIEMONTE, 185|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86203A|SALUZZO CAPOL. 'PIVANO'|SALUZZO|SCUOLA PRIMARIA|P.ZZA DANTE, 12|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86204B|"SALUZZO - CAP. ""COSTA"""|SALUZZO|SCUOLA PRIMARIA|P.ZZA XX SETTEMBRE, 1|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNMM862017|"SALUZZO ""ROSA BIANCA"""|SALUZZO|SCUOLA PRIMO GRADO|VIA SEGRE 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNMM862028|SALUZZO SS MANTA|MANTA|SCUOLA PRIMO GRADO|VIA GARIBALDI N. 61|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA86302X|BRA-ZONA MONTECATINI|BRA|SCUOLA INFANZIA|VIA PIUMATI N.72|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA863031|"BRA-BANDITO "" CHIARA LUBICH"""|BRA|SCUOLA INFANZIA|STRADA CROSASSA N. 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNAA863042|"BRA-POLLENZO""REG.MARGHERITA SAV"|BRA|SCUOLA INFANZIA|VIA REGINA MARGHERITA,30|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNAA86401P|BRA - GINA LAGORIO|BRA|SCUOLA INFANZIA|VIA CACCIATORI DELLE ALPI, 22|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863014|"BRA CAP.- ""DON MILANI"""|BRA|SCUOLA PRIMARIA|VIA EUROPA, N.15|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863025|"BRA -""F. GIOETTI""-MADONNA FIORI"|BRA|SCUOLA PRIMARIA|VIALE MADONNA DEI FIORI N.108|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863036|"BRA-FRAZ.BANDITO "" A. JONA"""|BRA|SCUOLA PRIMARIA|VIA PROF.CRAVERO N.1|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863047|"BRA-S. MICHELE  ""MARTIRI  RES"""|BRA|SCUOLA PRIMARIA|TENZA|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863058|BRA - FRAZ. RIVA|BRA|SCUOLA PRIMARIA|VIA CAVALLERMAGGIORE|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNEE863069|"BRA -POLLENZO ""PRINC. MAFALDA """|BRA|SCUOLA PRIMARIA|VIA REGINA MARGHERITA, 54|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNEE86401X|BRA-RITA LEVI MONTALCINI-|BRA|SCUOLA PRIMARIA|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNEE864021|"BRA- ""EDOARDO MOSCA"""|BRA|SCUOLA PRIMARIA|PIAZZA GIOVANNI GIOLITTI 84|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86501Q|FOSSANO LUIGI EINAUDI|FOSSANO|SCUOLA PRIMARIA|VIA MATTEOTTI, N.33|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86502R|FOSSANO - FRAZ. MURAZZO|FOSSANO|SCUOLA PRIMARIA|VIA CUNEO 197|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86503T|FOSSANO - FRAZ.MADDALENE|FOSSANO|SCUOLA PRIMARIA|VIA CENTALLO, N.279|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNEE86504V|CERVERE F.LLI VERNASSA|CERVERE|SCUOLA PRIMARIA|VIA ROMA 16|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86601G|FOSSANO I. CALVINO|FOSSANO|SCUOLA PRIMARIA|VIA GARIBALDI 5|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86602L|"FOSSANO- CAP. ""P. LEVI"""|FOSSANO|SCUOLA PRIMARIA|VIA FEDERICO SACCO 3|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNEE86603N|GENOLA LIDIA ROLFI|GENOLA|SCUOLA PRIMARIA|VIA SAN CIRIACO,4|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNIC862006|SALUZZO|SALUZZO|ISTITUTO COMPRENSIVO|VIA C. SEGRE 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNIC863002|BRA 2|BRA|ISTITUTO COMPRENSIVO|VIA EUROPA, N.15|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNIC86400T|BRA 1|BRA|ISTITUTO COMPRENSIVO|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNIC86500N|FOSSANO A|FOSSANO|ISTITUTO COMPRENSIVO|VIA G. MATTEOTTI, N.33|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNIC86600D|FOSSANO B|FOSSANO|ISTITUTO COMPRENSIVO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC863002|CNMM863013|BRA - DALLACHIESA|BRA|SCUOLA PRIMO GRADO|VIA BRIZIO 10|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86400T|CNMM86401V|BRA PIUMATI CRAVERI|BRA|SCUOLA PRIMO GRADO|VIA BARBACANA 41|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNMM86501P|FOSSANO PAGLIERI|FOSSANO|SCUOLA PRIMO GRADO|VIA DANTE ALIGHIERI 18|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86500N|CNMM86502Q|FOSSANO PAGLIERI SS CERVERE|CERVERE|SCUOLA PRIMO GRADO|VIA ADUA N. 2|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNMM86601E|FOSSANO SACCO-BOETTO|FOSSANO|SCUOLA PRIMO GRADO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86600D|CNMM86602G|FOSSANO SACCO-BOETTO SS GENOLA|GENOLA|SCUOLA PRIMO GRADO|VIA SAN CIRIACO 1/A|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86205C|PAGNO - CAPOLUOGO|PAGNO|SCUOLA PRIMARIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC862006|CNEE86206D|MANTA - CAPOLUOGO|MANTA|SCUOLA PRIMARIA|VIA VALERANO IL BURDO, 9/B|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83500T|CNAA83501P|RIFREDDO-CAPOLUOGO|RIFREDDO|SCUOLA INFANZIA|VIA VITT. EMANUELE II, 22|CUNEO|PIEMONTE|0041810002|CN|Attivo|NO|SI|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|750,00|540,00|1.450,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Rifreddo|Amministrazione Comunale|2017-12-15|2017-06-15|2017-09-15|COMUNE di Rifreddo|COMUNE|CNIC83500T|||44.651251|7.3498149999999995|Manutenzione straordinaria|Cantiere aperto|F64H17000080004|66140.0|66140.0|INTERVENTI DI EDILIZIA SCOLASTICA, INERENTE LAVORI DI MANUTENZIONE STRAORDINARIA DEL FABBRICATO COMUNALE ADIBITO A SCUOLA MATERNA*VIA VITTORIO EMANUELE II  NÀ 14*LAVORI DI MANUTENZIONE STRAORDINARAIA DEL FABBRICATO COMUNALE ADIBITO A SCUOLA MATERNA|2017|ATTIVO|56140|56140|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4181.0|85000390048|COMUNE DI RIFREDDO - CUNEO -|VITTORIO EMANUELE II|01|1||12030|RIFREDDO|4181|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|83.0|SCUOLE MATERNE|COMUNE DI RIFREDDO - CUNEO -|NORMALE|LAVORI DI MANUTENZIONE STRAORDINARAIA DEL FABBRICATO COMUNALE ADIBITO A SCUOLA MATERNA|INTERVENTI DI EDILIZIA SCOLASTICA, INERENTE LAVORI DI MANUTENZIONE STRAORDINARIA DEL FABBRICATO COMUNALE ADIBITO A SCUOLA MATERNA|VIA VITTORIO EMANUELE II  NÀ 14|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||00|ASSENTE|004|COMUNALE|NON PREVISTE||14-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106270
NORD OVEST|CNIC83500T|CNAA83502Q|PAESANA-CAPOLUOGO|PAESANA|SCUOLA INFANZIA|VIA REYNAUD N. 13|CUNEO|PIEMONTE|0041570003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|4.000,00|2.960,00|2.991,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83500T|CNAA83503R|MARTINIANA PO-CAPOLUOGO|MARTINIANA PO|SCUOLA INFANZIA|VIA ROMA N. 29|CUNEO|PIEMONTE|0041210002|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|-|230,00|1.050,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83600N|CNAA83601E|SCUOLA INFANZIA BAGNASCO|BAGNASCO|SCUOLA INFANZIA|VIA ROMA, 5|CUNEO|PIEMONTE|0040080001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|1.800,00|500,00|6.000,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|SI|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83600N|CNAA83602G|SCUOLA INFANZIA ORMEA|ORMEA|SCUOLA INFANZIA|VIA MARTINETTO, 1 - LOC.ALTRAMELLA|CUNEO|PIEMONTE|0041550001|CN|Attivo|SI|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1976|Informazione assente|-|Informazione assente|3.0|6.000,00|5.100,00|5.700,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
