AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIC847004|CNEE847038|CUNEO-FRAZ.MADONNA GRAZIE|CUNEO|SCUOLA PRIMARIA|VIA CAPPA,20|CUNEO|PIEMONTE|0040780048|CN|Attivo|-|-|-|Non Comunicato|-|SI|NO|1960|Informazione assente|-|Informazione assente|3.0|-|-|-|Esiste|Non Esiste|Non Comunicato|Non Comunicato|Non Esiste|NO|NO|NO|NO|NO|NO||||||||||||||||||
NORD OVEST|CNIC82400B|CNAA824029|CASTIGLIONE TINELLA (CAP.)|CASTIGLIONE TINELLA|SCUOLA INFANZIA|VIA CIRCONVALLAZIONE|CUNEO|PIEMONTE|0040560002|CN|Attivo|SI|NO|NO|Non Comunicato|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|730,00|419,00|4.448,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82400B|CNAA82403A|S.STEFANO BELBO|SANTO STEFANO BELBO|SCUOLA INFANZIA|VIA F.PISTONE|CUNEO|PIEMONTE|0042130001|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|2.0|1.372,00|840,00|3.724,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC825007|CNAA825014|CHERASCO-FRAZ.BRICCO|CHERASCO|SCUOLA INFANZIA|VIA FOSSANO N.2BIS|CUNEO|PIEMONTE|0040670009|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1900 e il 1920|-|Dal 1976 in poi|2.0|466,00|130,00|940,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC825007|CNAA825025|CHERASCO - CAPOLUOGO|CHERASCO|SCUOLA INFANZIA|VIALESALMATORIS N.21|CUNEO|PIEMONTE|0040670010|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|2003|Informazione assente|-|Informazione assente|2.0|3.210,00|-|3.366,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82200Q|CNEE82203X|VEZZA D'ALBA-CAPOLUOGO|VEZZA D'ALBA|SCUOLA PRIMARIA|PIAZZA SAN CARLO N.1    BIS|CUNEO|PIEMONTE|0042410004|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|2003|Informazione assente|-|Informazione assente|2.0|2.398,00|1.000,00|8.918,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85000X|CNAA85001R|BUSCA-CAPOLUOGO|BUSCA|SCUOLA INFANZIA|VIA PES DI VILLAMARINA|CUNEO|PIEMONTE|0040340007|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1978|Informazione assente|-|Informazione assente|3.0|2.785,00|2.265,00|2.830,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|SI|SI|SI||||||||||||||||||
NORD OVEST|CNIC813001|CNAA813041|LESEGNO-CAPOLUOGO|LESEGNO|SCUOLA INFANZIA|VIA VIARIS 5|CUNEO|PIEMONTE|0041080001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|1.350,00|934,00|4.624,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC813001|CNAA813052|MOMBASIGLIO-CAPOLUOGO|MOMBASIGLIO|SCUOLA INFANZIA|P.ZA MUNICIPIO 1|CUNEO|PIEMONTE|0041250001|CN|Attivo|-|-|-|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|872,00|400,00|2.152,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|NO|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82100X|CNAA82101R|MONTA'-CAPOLUOGO|MONTA'|SCUOLA INFANZIA|C.SO A. DE GASPERI 13|CUNEO|PIEMONTE|0041330001|CN|Attivo|NO|SI|SI|Non classificato a rischio|NO|SI|NO|1890|Informazione assente|-|Informazione assente|4.0|1.482,00|776,00|7.544,00|Esiste|Non Esiste|Non Comunicato|Non Comunicato|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82100X|CNAA82101R|MONTA'-CAPOLUOGO|MONTA'|SCUOLA INFANZIA|C.SO A. DE GASPERI 13|CUNEO|PIEMONTE|0041330004|CN|Attivo|NO|NO|NO|Non classificato a rischio|-|SI|NO|1989|Informazione assente|-|Informazione assente|2.0|2.910,00|988,00|2.720,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|NO|NO|NO|NO||||||||||||||||||
NORD OVEST|CNIC82100X|CNAA82102T|SANTO STEFANO ROERO|SANTO STEFANO ROERO|SCUOLA INFANZIA|VIA CAPOLUOGO 3|CUNEO|PIEMONTE|0042140001|CN|Attivo|-|-|-|Non classificato a rischio|SI|Non Comunicato|-|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|977,00|Esiste|Non Comunicato|Non Comunicato|Non Comunicato|Non Comunicato|SI|NO|SI|NO|SI|SI|#Scuole Sicure - CIPE 30/06/2014|Santo Stefano Roero|MIUR|2017-07-31|||SANTO STEFANO ROERO|COMUNE|CNIC82100X|||44.78699|7.942721000000001|Ristrutturazione|Start|F32F14000370002|334676,0300|334676,0300
NORD OVEST|CNIC82100X|CNAA82102T|SANTO STEFANO ROERO|SANTO STEFANO ROERO|SCUOLA INFANZIA|VIA CAPOLUOGO 3|CUNEO|PIEMONTE|0042140002|CN|Attivo|SI|SI|NO|Non classificato a rischio|NO|SI|NO|1975|Informazione assente|-|Informazione assente|3.0|1.138,00|800,00|1.720,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC82100X|CNAA82103V|MONTA'-FR. SAN ROCCO|MONTA'|SCUOLA INFANZIA|FR. SAN ROCCO, 43|CUNEO|PIEMONTE|0041330007|CN|Attivo|SI|SI|SI|Non classificato a rischio|-|NO|SI|-|tra il 1921 e il 1945|-|Informazione assente|2.0|536,00|292,00|902,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|NO|NO|NO|NO||||||||||||||||||
NORD OVEST|CNIC82200Q|CNEE822041|MONTEU ROERO-CAPOLUOGO|MONTEU ROERO|SCUOLA PRIMARIA|PIAZZA ROMA 5/B|CUNEO|PIEMONTE|0041400003|CN|Attivo|SI|SI|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|1985|Informazione assente|3.0|-|-|1.280,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Monteu Roero|Amministrazione Comunale|2017-10-15|2017-07-01|2017-08-31|COMUNE di Monteu Roero|COMUNE|CNIC82200Q|||44.780272|7.931078|Manutenzione straordinaria|Concluso|G16J17000040005|112000,0000|70000,0000
NORD OVEST|CNIC82300G|CNEE82301N|SUOR TECLA MERLO|CASTAGNITO|SCUOLA PRIMARIA|VIA LAVANDARO 11|CUNEO|PIEMONTE|0040460003|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|15.648,00|-|2.730,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Castagnito|Amministrazione comunale|2017-03-23|2014-11-06|2016-12-31|CASTAGNITO|COMUNE|CNIC82300G|"Scuola Primaria ""Suor Tecla Merlo"" - Via Lavandaro, 11"||44.748727|8.057706|Ristrutturazione|Concluso|D67E13000540006|274514,0000|274514,0000
NORD OVEST|CNIC82300G|CNEE82302P|CASTELLINALDO - CAPOLUOGO|CASTELLINALDO|SCUOLA PRIMARIA|VIA GUGLIELMO MARCONI, 7|CUNEO|PIEMONTE|0040510001|CN|Attivo|NO|NO|SI|Non Comunicato|NO|NO|SI|1900|Informazione assente|-|Dal 1976 in poi|3.0|355,00|135,00|1.492,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC840009|CNEE84001B|CERVASCA - CAPOLUOGO|CERVASCA|SCUOLA PRIMARIA|PIAZZA BERNARDI, 10|CUNEO|PIEMONTE|0040640001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1987|Informazione assente|-|Informazione assente|5.0|-|-|7.326,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|SI|SI|NO|NO|NO|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Cervasca|Amministrazione comunale|2017-11-28|2016-09-01|2016-10-10|COMUNE di Cervasca|COMUNE|CNIC840009|||44.383389|7.468952000000001|MESSA IN SICUREZZA|Concluso|B61E16000300004|160000,0000|43728,0900
NORD OVEST|CNIC840009|CNEE84002C|CERVASCA - FRAZ. S. CROCE|CERVASCA|SCUOLA PRIMARIA|VIA VIGNOLO,115|CUNEO|PIEMONTE|0040640003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1993|Informazione assente|-|Informazione assente|3.0|2.000,00|-|5.470,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|NO|NO|#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Cervasca|Amministrazione comunale|2017-03-23|2014-08-25|2014-09-18|Cervasca|COMUNE|CNIC840009|CERVASCA-FRAZ. S.CROCE||44.374453|7.499928999999999|Ripristino funzionale|Concluso|B66E12000960004|40000,0000|40000,0000
NORD OVEST|CNIC82200Q|CNAA82201L|MONTALDO ROERO-CAPOLUOGO|MONTALDO ROERO|SCUOLA INFANZIA|VIA ROMA 58|CUNEO|PIEMONTE|0041350001|CN|Attivo|SI|SI|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|2.0|650,00|170,00|1.956,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|NO|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Montaldo Roero|MIUR|2017-07-31|2016-02-29|2017-02-28|MONTALDO ROERO|COMUNE|CNIC82200Q|||44.768577|7.924439|Miglioramento sismico|Concluso|B51E15000230005|850000,0000|800000,0000
NORD OVEST|CNIC82200Q|CNAA82202N|CANALE  CAPOLUOGO|CANALE|SCUOLA INFANZIA|VIALE DEL PESCO 8|CUNEO|PIEMONTE|0040370001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|15.650,00|11.410,00|16.560,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Canale|Amministrazione Comunale|2017-12-15|2018-03-26|2018-10-24|COMUNE di Canale|COMUNE|CNIC82200Q|||44.794926000000004|7.994383999999999|Efficentamento energetico|In approvazione|E66J17000010005|555000,0000|555000,0000
NORD OVEST|CNIC82200Q|CNAA82202N|CANALE  CAPOLUOGO|CANALE|SCUOLA INFANZIA|VIALE DEL PESCO 8|CUNEO|PIEMONTE|0040370001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|15.650,00|11.410,00|16.560,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Canale|MIUR|2017-07-31|2016-09-07|2017-10-01|CANALE|COMUNE|CNIC82200Q|||44.794986|7.994403999999999|Adeguamento normativo|Cantiere aperto|E66J15000010002|800000,0000|800000,0000
NORD OVEST|CNIC82200Q|CNAA82203P|MONTEU ROERO-CAPOLUOGO|MONTEU ROERO|SCUOLA INFANZIA|PIAZZA ROMA 5/B|CUNEO|PIEMONTE|0041400004|CN|Attivo|SI|SI|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|1985|Informazione assente|1.0|1.000,00|401,00|844,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Monteu Roero|Amministrazione comunale|2017-03-23|2014-06-16|2014-09-03|MONTEU ROERO|COMUNE|CNIC82200Q|Scuola dell`infanzia - Piazza Roma, 5||44.780252000000004|7.931151|Ristrutturazione|Concluso|G11H13000250002|250000,0000|95000,0000
NORD OVEST|CNIC847004|CNAA847011|CUNEO-FRAZ.BOMBONINA|CUNEO|SCUOLA INFANZIA|VIA TETTO SACCHETTO, 9|CUNEO|PIEMONTE|0040780021|CN|Attivo|NO|NO|NO|Non Comunicato|NO|SI|NO|1978|Informazione assente|-|Informazione assente|2.0|1.720,00|1.320,00|1.200,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC847004|CNAA847022|CUNEO-FRAZ.TETTO CANALE|CUNEO|SCUOLA INFANZIA|VIA MONEA OLTREGESSO,75|CUNEO|PIEMONTE|0040780022|CN|Attivo|NO|NO|NO|Non Comunicato|NO|SI|NO|1972|Informazione assente|-|Informazione assente|2.0|1.500,00|1.200,00|1.680,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC84800X|CNAA84801R|"""C. COLLODI"" - CERIALDO"|CUNEO|SCUOLA INFANZIA|VIA CITTADELLA, 10|CUNEO|PIEMONTE|0040780023|CN|Attivo|NO|NO|NO|Non Comunicato|NO|SI|NO|1978|Informazione assente|-|Informazione assente|1.0|2.160,00|1.504,00|2.033,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85801L|MONDOVI' BREO TRIGARI|MONDOVI'|SCUOLA PRIMARIA|VIA G. MANESSERO 8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85802N|MONDOVI' CAPOL. BORGO FERRONE|MONDOVI'|SCUOLA PRIMARIA|CORSO ALPI N.48|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85803P|MONDOVI' - CAP. PIAZZA|MONDOVI'|SCUOLA PRIMARIA|VIA VICO, 56|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81000D|CNAA81003C|ENTRACQUE CAPOLUOGO|ENTRACQUE|SCUOLA INFANZIA|VIA ANGELO BARALE, 2 A|CUNEO|PIEMONTE|0040840001|CN|Attivo|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1978|Informazione assente|-|Informazione assente|3.0|862,00|178,00|3.238,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|NO|NO|NO|SI||||||||||||||||||
NORD OVEST|CNIC81000D|CNAA81004D|VALDIERI-FRAZ. ANDONNO|VALDIERI|SCUOLA INFANZIA|VIA G. ROSSO, 2 BIS|CUNEO|PIEMONTE|0042330004|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|2.0|400,00|-|1.456,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNMM161008|CNMM161008|CPIA 6 CUNEO - SALUZZO|CUNEO|SCUOLA PRIMO GRADO|VIA BARBAROUX  7|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNMM162004|CNMM162004|CPIA 2 ALBA - MONDOVI'|ALBA|SCUOLA PRIMO GRADO|VIA ACCADEMIA, 6|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81400R|CNAA81407X|MURAZZANO-CAPOLUOGO|MURAZZANO|SCUOLA INFANZIA|VIA CELESTINO D'ASTE|CUNEO|PIEMONTE|0041450003|CN|Attivo|NO|NO|NO|Non classificato a rischio|SI|SI|NO|2005|Informazione assente|-|Informazione assente|3.0|560,00|404,00|500,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC847004|CNEE847016|CUNEO-FRAZ.BORGO S.GIUSEPPE|CUNEO|SCUOLA PRIMARIA|VIA S. CRISTOFORO 25|CUNEO|PIEMONTE|0040780031|CN|Attivo|-|-|-|Non Comunicato|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|1.385,00|1.047,00|5.337,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Cuneo|Amministrazione comunale|2017-11-28|2017-07-11|2017-09-01|COMUNE di Cuneo|COMUNE||||44.376813|7.537136|Efficientamento energetico|Concluso|B21E15000560004|270000,0000|200457,9700
NORD OVEST|CNIC847004|CNEE847027|CUNEO-FRAZ.BOMBONINA|CUNEO|SCUOLA PRIMARIA|VIA CASTELLETTO STURA,272|CUNEO|PIEMONTE|0040780032|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1957|Informazione assente|-|Informazione assente|3.0|1.280,00|1.061,00|1.950,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82800P|CNEE828062|SAN DAMIANO MACRA - CAPOL.|SAN DAMIANO MACRA|SCUOLA PRIMARIA|SAN DAMIANO MACRA|CUNEO|PIEMONTE|0042070001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1962|Informazione assente|-|Informazione assente|3.0|450,00|278,00|1.634,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|San Damiano Macra|MIUR|2017-10-02|||SAN DAMIANO MACRA|COMUNE|CNIC82800P|||44.488232|7.257166000000001|Efficientamento Energetico|Start||0,0000|80000,0000
NORD OVEST|CNIC82100X|CNEE821012|MONTA' - CAPOLUOGO|MONTA'|SCUOLA PRIMARIA|VIA ROMA  N. 18|CUNEO|PIEMONTE|0041330001|CN|Attivo|NO|SI|SI|Non classificato a rischio|NO|SI|NO|1890|Informazione assente|-|Informazione assente|4.0|1.482,00|776,00|7.544,00|Esiste|Non Esiste|Non Comunicato|Non Comunicato|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80200E|CNMM80201G|"MOROZZO ""V. PEYRONE"""|MOROZZO|SCUOLA PRIMO GRADO|VIA LUCIANO EULA N. 8|CUNEO|PIEMONTE|0041440002|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1979|Informazione assente|-|Informazione assente|3.0|5.800,00|5.220,00|5.500,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82800P|CNEE828073|VILLAR SAN COSTANZO - CAPOL.|VILLAR SAN COSTANZO|SCUOLA PRIMARIA|LOC.VILLAR SC|CUNEO|PIEMONTE|0042470003|CN|Attivo|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1963|Informazione assente|-|Informazione assente|3.0|1.494,00|1.038,00|4.289,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC83000P|CNEE83002T|RACCONIGI-A.MORO CADUTI VIA FAN|RACCONIGI|SCUOLA PRIMARIA|VIA FERRUCCIO TON N.3|CUNEO|PIEMONTE|0041790002|CN|Attivo|NO|NO|NO|Non classificato a rischio|-|SI|NO|1966|Informazione assente|-|Informazione assente|4.0|8.550,00|4.550,00|19.560,00|Esiste|Non Esiste|Non Comunicato|Esiste|Esiste|SI|NO|NO|SI|SI|SI||||||||||||||||||
NORD OVEST|CNIC83100E|CNEE83101L|CASALGRASSO - CAPOLUOGO|CASALGRASSO|SCUOLA PRIMARIA|VIA MONS. ROSTAGNO, 2|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85100Q|CNEE85101T|SAVIGLIANO- SANTORRE SANTAROSA|SAVIGLIANO|SCUOLA PRIMARIA|VIA A. FERRERI, 9|CUNEO|PIEMONTE|0042150018|CN|Attivo|NO|NO|SI|Non Comunicato|-|NO|SI|1770|Informazione assente|-|Informazione assente|4.0|3.038,00|1.100,00|28.217,00|Esiste|Non Esiste|Non Comunicato|Esiste|Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85100Q|CNEE85102V|SAVIGLIANO - FRAZ. LEVALDIGI|SAVIGLIANO|SCUOLA PRIMARIA|VIA THOLOSAN 37|CUNEO|PIEMONTE|0042150019|CN|Attivo|NO|NO|SI|Non Comunicato|-|SI|NO|1933|Informazione assente|-|Informazione assente|3.0|1.871,00|1.458,00|3.758,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|NO|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC85200G|CNEE85201N|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170001|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|5.576,00|3.313,00|4.611,00|Esiste|Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85200G|CNEE85201N|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170002|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|5.576,00|3.313,00|4.611,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85200G|CNEE85201N|MARENE - CAPOLUOGO|MARENE|SCUOLA PRIMARIA|VIA R. GALVAGNO 19|CUNEO|PIEMONTE|0041170003|CN|Attivo|NO|NO|-|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|2.0|5.800,00|980,00|6.895,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|NO|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85200G|CNEE85202P|SAVIGLIANO-B. PIEVE-GIOV.XXIII|SAVIGLIANO|SCUOLA PRIMARIA|VICOLO S. EUSTACCHIO, 18|CUNEO|PIEMONTE|0042150017|CN|Attivo|NO|NO|NO|Non Comunicato|-|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|3.618,00|2.924,00|10.742,00|Esiste|Non Esiste|Non Comunicato|Esiste|Esiste|NO|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC83700D|CNAA83704D|NEIVE - CAPOLUOGO|NEIVE|SCUOLA INFANZIA|VIA CESARE PAVESE 3 B|CUNEO|PIEMONTE|0041480002|CN|Attivo|SI|SI|NO|Non classificato a rischio|SI|SI|NO|1983|Informazione assente|-|Informazione assente|3.0|-|-|4.245,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|SI|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Neive|MIUR|2017-07-31|2016-05-04|2016-10-31|NEIVE|COMUNE|CNIC83700D|||44.721357|8.120224|Efficientamento energetico|Concluso|E94E15000700001|740000,0000|680000,0000
NORD OVEST|CNIC83700D|CNAA83705E|MANGO|MANGO|SCUOLA INFANZIA|VIA CIRCONVALLAZIONE 43|CUNEO|PIEMONTE|0041150002|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1965|Informazione assente|-|Informazione assente|4.0|7.425,00|6.525,00|11.880,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Mango|Amministrazione Comunale|2017-09-30|2017-06-15|2017-08-31|COMUNE di Mango|COMUNE|CNIC83700D|||44.686246999999995|8.149448|Manutenzione|Concluso|D31E17000010004|26000,0000|26000,0000
NORD OVEST|CNMM162004|CNEE700014|"ALBA- ""CASA CIRCONDARIALE"""|ALBA|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNMM161008|CNEE70101X|CUNEO-CARCERI GIUDIZIARIE|CUNEO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNMM161008|CNEE70201Q|"FOSSANO ""CASA DI RECLUSIONE"""|FOSSANO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
