AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC80600T|CNEE806054|CARRU|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|10.105,00|7.410,00|5.681,00
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190002|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|10.040,00|8.115,00|7.198,00
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190005|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|NO|SI|-|dal 1976 in poi|-|Dal 1976 in poi|4.0|-|-|6.000,00
NORD OVEST|CNIC80700N|CNEE80702R|BENE VAGIENNA|SALMOUR-CAPOLUOGO|SALMOUR|SCUOLA PRIMARIA|PIAZZA DONATORI DI SANGUE N. 1|CUNEO|PIEMONTE|0042020001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|SI|NO|SI|-|tra il 1800 e il 1899|-|tra il 1946 e il 1975|2.0|1.076,00|598,00|3.250,00
NORD OVEST|CNIC812005|CNEE81207D|VILLANOVA MONDOVI'|MONASTERO DI VASCO|MONASTERO DI VASCO|SCUOLA PRIMARIA|PIAZZA DON DHO|CUNEO|PIEMONTE|0041260003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2013|Informazione assente|-|Informazione assente|1.0|4.420,00|3.509,00|3.592,00
NORD OVEST|CNIC813001|CNEE813024|"CEVA ""A.MOMIGLIANO"""|SALE DELLE LANGHE - CAPOLUOGO|SALE DELLE LANGHE|SCUOLA PRIMARIA|VIA ROMA|CUNEO|PIEMONTE|0041990001|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|775,00|336,00|5.400,00
NORD OVEST|CNIC83100E|CNEE83104Q|MORETTA|SCARNAFIGI - CAPOL.|SCARNAFIGI|SCUOLA PRIMARIA|P.ZZA EUROPA N. 1|CUNEO|PIEMONTE|0042170002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1995|Informazione assente|-|Informazione assente|2.0|3.814,00|-|2.890,00
NORD OVEST|CNIC813001|CNEE813035|"CEVA ""A.MOMIGLIANO"""|CEVA - CAPOLUOGO|CEVA|SCUOLA PRIMARIA|PIAZZA GALLIANO 4|CUNEO|PIEMONTE|0040660002|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1935|Informazione assente|-|Informazione assente|3.0|-|-|11.623,00
NORD OVEST|CNIC813001|CNEE813035|"CEVA ""A.MOMIGLIANO"""|CEVA - CAPOLUOGO|CEVA|SCUOLA PRIMARIA|PIAZZA GALLIANO 4|CUNEO|PIEMONTE|0040660006|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|NO|SI|NO|1935|Informazione assente|-|Informazione assente|2.0|1.280,00|731,00|4.419,00
NORD OVEST|CNIC813001|CNEE813046|"CEVA ""A.MOMIGLIANO"""|LESEGNO - CAPOLUOGO|LESEGNO|SCUOLA PRIMARIA|VIA VIARIS 5|CUNEO|PIEMONTE|0041080001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|1.350,00|934,00|4.624,00
NORD OVEST|CNIC813001|CNEE813057|"CEVA ""A.MOMIGLIANO"""|MOMBASIGLIO - CAPOLUOGO|MOMBASIGLIO|SCUOLA PRIMARIA|P.ZA MUNICIPIO 1|CUNEO|PIEMONTE|0041250001|CN|Attivo|201516.0|-|-|-|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|872,00|400,00|2.152,00
NORD OVEST|CNIC813001|CNEE813068|"CEVA ""A.MOMIGLIANO"""|VIOLA - CAPOLUOGO|VIOLA|SCUOLA PRIMARIA|PIAZZA MARCONI 2|CUNEO|PIEMONTE|0042490001|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|231,00|-|855,00
NORD OVEST|CNIC812005|CNEE81206C|VILLANOVA MONDOVI'|VILLANOVA M. - FRAZ. PASCO|VILLANOVA MONDOVI'|SCUOLA PRIMARIA|STRADA F.LLI BISCIA 14|CUNEO|PIEMONTE|0042450003|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|SI|NO|1894|Informazione assente|-|Informazione assente|2.0|669,00|532,00|552,00
NORD OVEST|CNIC812005|CNEE81206C|VILLANOVA MONDOVI'|VILLANOVA M. - FRAZ. PASCO|VILLANOVA MONDOVI'|SCUOLA PRIMARIA|STRADA F.LLI BISCIA 14|CUNEO|PIEMONTE|0042450005|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|-|SI|NO|2005|Informazione assente|-|Informazione assente|2.0|1.196,00|848,00|2.053,00
NORD OVEST|CNIC83100E|CNEE83105R|MORETTA|CARDE' - CAPOL.|CARDE'|SCUOLA PRIMARIA|VIA MORETTA, 21|CUNEO|PIEMONTE|0040420001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|1968|Informazione assente|-|Informazione assente|4.0|3.630,00|2.910,00|3.837,00
NORD OVEST|CNIC83100E|CNEE83105R|MORETTA|CARDE' - CAPOL.|CARDE'|SCUOLA PRIMARIA|VIA MORETTA, 21|CUNEO|PIEMONTE|0040420003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1988|Informazione assente|-|Informazione assente|1.0|-|-|4.537,00
NORD OVEST|CNIC83100E|CNEE83106T|MORETTA|MORETTA - CAPOL.|MORETTA|SCUOLA PRIMARIA|VIA ROMA,32|CUNEO|PIEMONTE|0041430003|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1934|Informazione assente|-|Informazione assente|2.0|4.900,00|4.020,00|8.018,00
NORD OVEST|CNIC83100E|CNEE83106T|MORETTA|MORETTA - CAPOL.|MORETTA|SCUOLA PRIMARIA|VIA ROMA,32|CUNEO|PIEMONTE|0041430005|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|1.0|1.994,00|1.374,00|2.790,00
NORD OVEST|CNIC85800E|CNEE85804Q|MONDOVI' 1|MONDOVI' - CAP. LOC. CARASSONE|MONDOVI'|SCUOLA PRIMARIA|PIAZZA SAN GIOVANNI IN LUPAZZANIO N.8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85901C|MONDOVI' 2|MONDOVI' -  ALTIPIANO|MONDOVI'|SCUOLA PRIMARIA|VIA MATTEOTTI N. 9|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85902D|MONDOVI' 2|MONDOVI' - CAP. BORGO ARAGNO|MONDOVI'|SCUOLA PRIMARIA|CORSO MILANO 32|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85903E|MONDOVI' 2|MONDOVI' - BREOLUNGI|MONDOVI'|SCUOLA PRIMARIA|FRAZ. BREOLUNGI|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85904G|MONDOVI' 2|MONDOVI' -FRAZ. S.ANNA AVAGNINA|MONDOVI'|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85905L|MONDOVI' 2|PIANFEI - CAPOL.|PIANFEI|SCUOLA PRIMARIA|VIA ROMA 99/F|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC81600C|CNEE81601E|CORTEMILIA-SALICETO|CASTELLETTO UZZONE - CAPOL.|CASTELLETTO UZZONE|SCUOLA PRIMARIA|PIAZZA DELLA CHIESA, 6|CUNEO|PIEMONTE|0040500001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1957|Informazione assente|-|Informazione assente|2.0|1.500,00|866,00|848,00
NORD OVEST|CNIC81600C|CNEE81603L|CORTEMILIA-SALICETO|CORTEMILIA - CAPOLUOGO|CORTEMILIA|SCUOLA PRIMARIA|VIA SALINO  1|CUNEO|PIEMONTE|0040730001|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|3.290,00|2.334,00|8.555,00
NORD OVEST|CNIC838009|CNAA838027|CAVALLERMAGGIORE|CAVALLERMAGGIORE - CAP.|CAVALLERMAGGIORE|SCUOLA INFANZIA|VIALE GALILEI 1|CUNEO|PIEMONTE|0040590005|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|-|SI|NO|2007|Informazione assente|-|Informazione assente|2.0|4.950,00|2.890,00|5.400,00
NORD OVEST|CNIC838009|CNAA838038|CAVALLERMAGGIORE|CARAMAGNA P.TE-CAPOLUOGO|CARAMAGNA PIEMONTE|SCUOLA INFANZIA|VIA S.BIAGIO, 36|CUNEO|PIEMONTE|0040410002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|3.900,00|2.884,00|3.540,00
NORD OVEST|CNIC839005|CNAA839012|BERNEZZO - DUCCIO GALIMBERTI|BERNEZZO-CAPOLUOGO INFANZIA|BERNEZZO|SCUOLA INFANZIA|PIAZZA SOLIDARIETA E VOLONTARIATO 5|CUNEO|PIEMONTE|0040220001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1986|Informazione assente|-|Informazione assente|1.0|-|-|1.700,00
NORD OVEST|CNIC85900A|CNEE85907P|MONDOVI' 2|MONDOVI' - VIA CUNEO|MONDOVI'|SCUOLA PRIMARIA|VIA CUNEO|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86000E|CNEE86001L|CUNEO VIALE ANGELI|CUNEO-CAPOL.VIALE ANGELI|CUNEO|SCUOLA PRIMARIA|VIALE ANGELI 82|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86000E|CNEE86002N|CUNEO VIALE ANGELI|"CUNEO-CAPOL. "" ZONA 2"""|CUNEO|SCUOLA PRIMARIA|LARGO PIERO BELLINO 3|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC86100A|CNEE86101C|CUNEO VIA SOBRERO|"CUNEO - CAP. ""LUIGI EINAUDI"""|CUNEO|SCUOLA PRIMARIA|VIA QUINTINO SELLA 39|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC825007|CNEE82502A|CHERASCO - S. TARICCO|CHERASCO - FRAZ. BRICCO|CHERASCO|SCUOLA PRIMARIA|VIA DELLE SCUOLE N.11|CUNEO|PIEMONTE|0040670007|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|3.0|750,00|507,00|1.720,00
NORD OVEST|CNIC825007|CNEE82503B|CHERASCO - S. TARICCO|CHERASCO - FRAZ. RORETO|CHERASCO|SCUOLA PRIMARIA|VIA CONTI PETITTI N.38|CUNEO|PIEMONTE|0040670002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|2.0|1.250,00|648,00|3.612,00
NORD OVEST|CNIC825007|CNEE82504C|CHERASCO - S. TARICCO|NARZOLE - CAPOLUOGO|NARZOLE|SCUOLA PRIMARIA|VIA MICHELANGELO|CUNEO|PIEMONTE|0041470002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|2.340,00|1.690,00|5.850,00
NORD OVEST|CNIC85300B|CNEE85301D|ALBA QUARTIERE MUSSOTTO E SX TA|ALBA-MUSSOTTO|ALBA|SCUOLA PRIMARIA|VIA DELPIANO N. 11|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85300B|CNEE85302E|ALBA QUARTIERE MUSSOTTO E SX TA|AUGUSTO DACOMO- MONTICELLO ALBA|MONTICELLO D'ALBA|SCUOLA PRIMARIA|VIA M. NANTIAT, 2|CUNEO|PIEMONTE|0041420005|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|3.0|941,00|691,00|3.100,00
NORD OVEST|CNIC85300B|CNEE85303G|ALBA QUARTIERE MUSSOTTO E SX TA|GUARENE - CAPOLUOGO|GUARENE|SCUOLA PRIMARIA|PIAZZA S.ROCCO N.6|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85300B|CNEE85304L|ALBA QUARTIERE MUSSOTTO E SX TA|GUARENE - FRAZ. VACCHERIA|GUARENE|SCUOLA PRIMARIA|VIA MULINO VECCHIO|CUNEO|PIEMONTE|0041010002|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|3.400,00|2.630,00|2.800,00
NORD OVEST|CNIC854007|CNEE854019|ALBA QUARTIERE PIAVE S.CASSIANO|ALBA - MARIA MONTESSORI|ALBA|SCUOLA PRIMARIA|VIA SAN PIO V, 9|CUNEO|PIEMONTE|0040030015|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1960|Informazione assente|-|Informazione assente|3.0|3.655,00|3.189,00|4.689,00
NORD OVEST|CNIC854007|CNEE854019|ALBA QUARTIERE PIAVE S.CASSIANO|ALBA - MARIA MONTESSORI|ALBA|SCUOLA PRIMARIA|VIA SAN PIO V, 9|CUNEO|PIEMONTE|0040030034|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|-|-|4.027,00
NORD OVEST|CNIC854007|CNEE85402A|ALBA QUARTIERE PIAVE S.CASSIANO|ALBA-RODARI-PIAVE SAN CASSIANO|ALBA|SCUOLA PRIMARIA|C.SO EUROPA,134|CUNEO|PIEMONTE|0040030009|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1979|Informazione assente|-|Informazione assente|3.0|10.203,00|6.993,00|18.114,00
NORD OVEST|CNIC855003|CNEE855015|ALBA QUARTIERE MORETTA|ALBA-BORGO MORETTA|ALBA|SCUOLA PRIMARIA|VIA DE AMICIS N.1|CUNEO|PIEMONTE|0040030014|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|3.0|6.694,00|5.157,00|15.131,00
NORD OVEST|CNIC855003|CNEE855015|ALBA QUARTIERE MORETTA|ALBA-BORGO MORETTA|ALBA|SCUOLA PRIMARIA|VIA DE AMICIS N.1|CUNEO|PIEMONTE|0040030028|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|-|-|9.489,00
NORD OVEST|CNIC85800E|CNAA85803D|MONDOVI' 1|MONDOVI'- PIANDELLAVALLE|MONDOVI'|SCUOLA INFANZIA|VIA S.FRANCESCO|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85800E|CNAA85804E|MONDOVI' 1|MONDOVI'-LOC.PIAZZA|MONDOVI'|SCUOLA INFANZIA|PIAZZA D'ARMI 11|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85900A|CNAA859017|MONDOVI' 2|"MONDOVI'-""IL GRILLO PARLANTE"""|MONDOVI'|SCUOLA INFANZIA|VIA BRA 45|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80600T|CNAA80602Q|CARRU|CLAVESANA|CLAVESANA|SCUOLA INFANZIA|BORGATA GERINO 8|CUNEO|PIEMONTE|0040710002|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|NO|SI|-|tra il 1946 e il 1960|1984|Informazione assente|2.0|200,00|2.650,00|900,00
NORD OVEST|CNIC80600T|CNAA80603R|CARRU|CARRU'|CARRU'|SCUOLA INFANZIA|CORSO LUIGI EINAUDI 10|CUNEO|PIEMONTE|0040430001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|3.0|1.693,00|943,00|3.512,00
NORD OVEST|CNIC80600T|CNAA80604T|CARRU|ROCCA DE' BALDI - FRAZ. CRAVA|ROCCA DE' BALDI|SCUOLA INFANZIA|VIA PEIRONE, 53 B|CUNEO|PIEMONTE|0041890002|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|2.0|2.600,00|1.956,00|3.864,00
NORD OVEST|CNIC84300R|CNAA84305T|CENTALLO-VILLAFALLETTO|D.PIETRO SPERINO  VILLAFALLETTO|VILLAFALLETTO|SCUOLA INFANZIA|VIA ROMA N. 2|CUNEO|PIEMONTE|0042440003|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|prima del 1800|-|Informazione assente|2.0|1.240,00|723,00|3.200,00
NORD OVEST|CNIC804006|CNEE80406D|CARAGLIO|MONTEROSSO GRANA - PRIMARIA|MONTEROSSO GRANA|SCUOLA PRIMARIA|VIA MISTRAL N. 24|CUNEO|PIEMONTE|0041390002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2013|Informazione assente|-|Informazione assente|3.0|1.769,00|1.315,00|3.540,00
NORD OVEST|CNIC817008|CNIC817008|SOMMARIVA DEL BOSCO|SOMMARIVA DEL BOSCO|SOMMARIVA DEL BOSCO|ISTITUTO COMPRENSIVO|VIA GIANSANA N.37|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85600V|CNEE856011|ALBA CENTRO STORICO|ALBA F.LLI AMBROGIO-CENTRO ST.|ALBA|SCUOLA PRIMARIA|VIA F.LLI AMBROGIO|CUNEO|PIEMONTE|0040030012|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1968|Informazione assente|-|Informazione assente|3.0|4.388,00|2.324,00|14.396,00
NORD OVEST|CNIC85700P|CNEE85702T|CUNEO-CORSO SOLERI|CUNEO-SOLERI-OSPEDALE|CUNEO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85700P|CNEE85703V|CUNEO-CORSO SOLERI|"CUNEO-C. SOLERI ""PAOLA GARELLI"""|CUNEO|SCUOLA PRIMARIA|CORSO SOLERI,1|CUNEO|PIEMONTE|0040780026|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|4.0|3.800,00|1.550,00|40.500,00
NORD OVEST|CNIC85700P|CNEE85704X|CUNEO-CORSO SOLERI|CUNEO-FRAZ.S.ROCCO CASTAGNARETT|CUNEO|SCUOLA PRIMARIA|PIAZZALE SAN SERENO, 3|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS02400G|CNIS02400G|CUNEO -BIANCHI - VIRGINIO|CUNEO -BIANCHI - VIRGINIO|CUNEO|ISTITUTO SUPERIORE|C.SO A. DE GASPERI 11|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80200E|CNIC80200E|MOROZZO|MOROZZO|MOROZZO|ISTITUTO COMPRENSIVO|VIA LUCIANO EULA N. 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80300A|CNIC80300A|"DEMONTE  ""L. ROMANO"""|"DEMONTE  ""L. ROMANO"""|DEMONTE|ISTITUTO COMPRENSIVO|VIA G. PEANO      N.6|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC804006|CNIC804006|CARAGLIO|CARAGLIO|CARAGLIO|ISTITUTO COMPRENSIVO|C.SO       GIOVANNI XXIII      N.12|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80600T|CNIC80600T|CARRU|CARRU|CARRU'|ISTITUTO COMPRENSIVO|VIA VACCHETTI   N.21|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC80700N|CNIC80700N|BENE VAGIENNA|BENE VAGIENNA|BENE VAGIENNA|ISTITUTO COMPRENSIVO|VIALE RIMEMBRANZA N. 2|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC817008|CNEE81703C|SOMMARIVA DEL BOSCO|"SOMMARIVA BOSCO ""A.PARATO""-CAP."|SOMMARIVA DEL BOSCO|SCUOLA PRIMARIA|VIA GIANSANA 37|CUNEO|PIEMONTE|0042220001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|NO|SI|-|tra il 1961 e il 1975|-|Dal 1976 in poi|5.0|25.000,00|22.314,00|21.000,00
NORD OVEST|CNIC81400R|CNEE814109|BOSSOLASCO-MURAZZANO|SOMANO - CAPOLUOGO|SOMANO|SCUOLA PRIMARIA|VIA ROMA 1/A|CUNEO|PIEMONTE|0042210001|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|2.0|700,00|590,00|910,00
NORD OVEST|CNIC81400R|CNEE81411A|BOSSOLASCO-MURAZZANO|BORGOMALE - CAPOLUOGO|BORGOMALE|SCUOLA PRIMARIA|VIA PRINCIPALE, 5|CUNEO|PIEMONTE|0040240002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|SI|NO|SI|-|tra il 1921 e il 1945|2001|Informazione assente|3.0|715,00|365,00|1.140,00
NORD OVEST|CNIC81400R|CNEE81411A|BOSSOLASCO-MURAZZANO|BORGOMALE - CAPOLUOGO|BORGOMALE|SCUOLA PRIMARIA|VIA PRINCIPALE, 5|CUNEO|PIEMONTE|0040240003|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1921 e il 1945|2005|Informazione assente|2.0|110,00|-|560,00
NORD OVEST|CNIC81400R|CNEE81411A|BOSSOLASCO-MURAZZANO|BORGOMALE - CAPOLUOGO|BORGOMALE|SCUOLA PRIMARIA|VIA PRINCIPALE, 5|CUNEO|PIEMONTE|0040240004|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|428,00
NORD OVEST|CNIC81400R|CNEE81411A|BOSSOLASCO-MURAZZANO|BORGOMALE - CAPOLUOGO|BORGOMALE|SCUOLA PRIMARIA|VIA PRINCIPALE, 5|CUNEO|PIEMONTE|0040240005|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|SI|NO|SI|-|tra il 1800 e il 1899|-|Informazione assente|2.0|81,00|66,00|396,00
NORD OVEST|CNIC81600C|CNIC81600C|CORTEMILIA-SALICETO|CORTEMILIA-SALICETO|CORTEMILIA|ISTITUTO COMPRENSIVO|VIA SALINO 1|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC817008|CNEE81702B|SOMMARIVA DEL BOSCO|SANFRE'|SANFRE'|SCUOLA PRIMARIA|VIA MADONNA DEL POPOLO|CUNEO|PIEMONTE|0042080001|CN|Attivo|201516.0|SI|NO|NO|Non Comunicato|SI|SI|NO|1987|Informazione assente|-|Informazione assente|2.0|4.459,00|2.862,00|7.113,00
NORD OVEST|CNIC817008|CNEE81702B|SOMMARIVA DEL BOSCO|SANFRE'|SANFRE'|SCUOLA PRIMARIA|VIA MADONNA DEL POPOLO|CUNEO|PIEMONTE|0042080004|CN|Attivo|201516.0|SI|NO|NO|Non Comunicato|NO|SI|NO|1989|Informazione assente|-|Informazione assente|1.0|4.459,00|2.862,00|3.025,00
NORD OVEST|CNIC818004|CNEE818027|SOMMARIVA PERNO|CORNELIANO D'ALBA CAPOLUOGO|CORNELIANO D'ALBA|SCUOLA PRIMARIA|VIA DELLE SCUOLE N. 1|CUNEO|PIEMONTE|0040720003|CN|Attivo|201516.0|SI|-|SI|Non Comunicato|-|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|2.0|2.359,00|1.309,00|4.181,00
NORD OVEST|CNIC818004|CNEE818027|SOMMARIVA PERNO|CORNELIANO D'ALBA CAPOLUOGO|CORNELIANO D'ALBA|SCUOLA PRIMARIA|VIA DELLE SCUOLE N. 1|CUNEO|PIEMONTE|0040720004|CN|Attivo|201516.0|SI|-|-|Non Comunicato|-|SI|NO|1980|Informazione assente|-|Informazione assente|1.0|2.359,00|1.309,00|2.000,00
NORD OVEST|CNIC818004|CNEE818027|SOMMARIVA PERNO|CORNELIANO D'ALBA CAPOLUOGO|CORNELIANO D'ALBA|SCUOLA PRIMARIA|VIA DELLE SCUOLE N. 1|CUNEO|PIEMONTE|0040720005|CN|Attivo|201516.0|SI|-|-|Non Comunicato|-|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|2.359,00|1.309,00|640,00
NORD OVEST|CNIC85600V|CNAA85601Q|ALBA CENTRO STORICO|ALBA-VIA CESARE BALBO|ALBA|SCUOLA INFANZIA|VIA CESARE BALBO 3|CUNEO|PIEMONTE|0040030003|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1992|Informazione assente|-|Informazione assente|2.0|1.370,00|788,00|4.250,00
NORD OVEST|CNIC85600V|CNAA85602R|ALBA CENTRO STORICO|ALBA-VIA F.LLI AMBROGIO|ALBA|SCUOLA INFANZIA|VIA F.LLI AMBROGIO|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC812005|CNIC812005|VILLANOVA MONDOVI'|VILLANOVA MONDOVI'|VILLANOVA MONDOVI'|ISTITUTO COMPRENSIVO|CORSO MARCONI 37|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC813001|CNIC813001|"CEVA ""A.MOMIGLIANO"""|"CEVA ""A.MOMIGLIANO"""|CEVA|ISTITUTO COMPRENSIVO|VIA        LEOPOLDO MARENCO    N 1|CUNEO|PIEMONTE|||||||||||||||||||
